m值,环编号,内径 (mm),外径 (mm)
6,1,0.000000,2.477401
6,2,2.739901,3.693856
6,3,3.956356,4.668005
6,4,4.930505,5.517916
6,5,5.780416,6.288937
6,6,6.551437,7.004202
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
6,1,0.000000,2.759658
6,2,2.759756,3.902815
6,3,3.902914,4.780005
6,4,4.780103,5.519520
6,5,5.519618,6.171053
6,6,6.171152,6.760091
10,1,0.000000,3.162158
10,2,3.162242,4.472026
10,3,4.472110,5.477135
10,4,5.477220,6.324490
10,5,6.324574,7.071031
10,6,7.071116,7.745961
10,7,7.746046,8.366628
10,8,8.366712,8.944334
10,9,8.944419,9.486931
10,10,9.487016,10.000135
10,1,0.000000,3.162158
10,2,3.162242,4.472026
10,3,4.472110,5.477135
10,4,5.477220,6.324490
10,5,6.324574,7.071031
10,6,7.071116,7.745961
10,7,7.746046,8.366628
10,8,8.366712,8.944334
10,9,8.944419,9.486931
10,10,9.487016,10.000135
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
10,1,0.000000,2.763603
10,2,3.026103,4.098146
10,3,4.360646,5.162628
10,4,5.425128,6.088474
10,5,6.350974,6.926209
10,6,7.188709,7.701626
10,7,7.964126,8.429994
10,8,8.692494,9.121236
10,9,9.383736,9.782229
10,10,10.044729,10.417969
